doc_id,raw_text,tokenized_text
001-066-005,"“Queequeg no care what god made him shark,” said the savage, agonizingly lifting his hand up and down; “wedder Fejee god or Nantucket god; but de god wat made shark must be one dam Ingin.”",queequeg no care what god made him shark said the savage agonizingly lifting his hand up and down wedder fejee god or nantucket god but de god wat made shark must be one dam ingin
001-061-016,"“Wet the line! wet the line!” cried Stubb to the tub oarsman (him seated by the tub) who, snatching off his hat, dashed sea-water into it.* More turns were taken, so that the line began holding its place. The boat now flew through the boiling water like a shark all fins. Stubb and Tashtego here changed places—stem for stern—a staggering business truly in that rocking commotion.",wet the line wet the line cried stubb to the tub oarsman him seated by the tub who snatching off his hat dashed sea water into it more turns were taken so that the line began holding its place the boat now flew through the boiling water like a shark all fins stubb and tashtego here changed places stem for stern a staggering business truly in that rocking commotion
001-100-024,"“Stood our old Sammy off to the northward, to get out of the blazing hot weather there on the Line. But it was no use—I did all I could; sat up with him nights; was very severe with him in the matter of diet—”",stood our old sammy off to the northward to get out of the blazing hot weather there on the line but it was no use i did all i could sat up with him nights was very severe with him in the matter of diet
001-100-011,"“And he took that arm off, did he?” asked Ahab, now sliding down from the capstan, and resting on the Englishman’s shoulder, as he did so.",and he took that arm off did he asked ahab now sliding down from the capstan and resting on the englishman s shoulder as he did so
001-081-009,"His necessities supplied, Derick departed; but he had not gained his ship’s side, when whales were almost simultaneously raised from the mast-heads of both vessels; and so eager for the chase was Derick, that without pausing to put his oil-can and lamp-feeder aboard, he slewed round his boat and made after the leviathan lamp-feeders.",his necessities supplied derick departed but he had not gained his ship s side when whales were almost simultaneously raised from the mast heads of both vessels and so eager for the chase was derick that without pausing to put his oil can and lamp feeder aboard he slewed round his boat and made after the leviathan lamp feeders
001-134-011,"They were one man, not thirty. For as the one ship that held them all; though it was put together of all contrasting things—oak, and maple, and pine wood; iron, and pitch, and hemp—yet all these ran into each other in the one concrete hull, which shot on its way, both balanced and directed by the long central keel; even so, all the individualities of the crew, this man’s valor, that man’s fear; guilt and guiltiness, all varieties were welded into oneness, and were all directed to that fatal goal which Ahab their one lord and keel did point to.",they were one man not thirty for as the one ship that held them all though it was put together of all contrasting things oak and maple and pine wood iron and pitch and hemp yet all these ran into each other in the one concrete hull which shot on its way both balanced and directed by the long central keel even so all the individualities of the crew this man s valor that man s fear guilt and guiltiness all varieties were welded into oneness and were all directed to that fatal goal which ahab their one lord and keel did point to
000-053-032,"Her daughters were eagerly called to partake of her joy. Jane resolutely kept her place at the table; but Elizabeth, to satisfy her mother, went to the window--she looked--she saw Mr. Darcy with him, and sat down again by her sister.",her daughters were eagerly called to partake of her joy jane resolutely kept her place at the table but elizabeth to satisfy her mother went to the window she looked she saw mr darcy with him and sat down again by her sister
000-052-019,"“That you were gone into the army, and she was afraid had--not turned out well. At such a distance as _that_, you know, things are strangely misrepresented.”",that you were gone into the army and she was afraid had not turned out well at such a distance as that you know things are strangely misrepresented
000-053-057,"Yet the misery, for which years of happiness were to offer no compensation, received soon afterwards material relief, from observing how much the beauty of her sister rekindled the admiration of her former lover. When first he came in, he had spoken to her but little, but every five minutes seemed to be giving her more of his attention. He found her as handsome as she had been last year; as good-natured, and as unaffected, though not quite so chatty. Jane was anxious that no difference should be perceived in her at all, and was really persuaded that she talked as much as ever; but her mind was so busily engaged, that she did not always know when she was silent.",yet the misery for which years of happiness were to offer no compensation received soon afterwards material relief from observing how much the beauty of her sister rekindled the admiration of her former lover when first he came in he had spoken to her but little but every five minutes seemed to be giving her more of his attention he found her as handsome as she had been last year as good natured and as unaffected though not quite so chatty jane was anxious that no difference should be perceived in her at all and was really persuaded that she talked as much as ever but her mind was so busily engaged that she did not always know when she was silent
002-016-097,"The noise of Charley’s laughter, and the voice of Miss Betsy, who opportunely arrived to throw water over her friend, and perform other feminine offices for the promotion of her recovery, might have kept many people awake under more happy circumstances than those in which Oliver was placed. But he was sick and weary; and he soon fell sound asleep.",the noise of charley s laughter and the voice of miss betsy who opportunely arrived to throw water over her friend and perform other feminine offices for the promotion of her recovery might have kept many people awake under more happy circumstances than those in which oliver was placed but he was sick and weary and he soon fell sound asleep
